label,metric,n_CXCR6_pos,n_CXCR6_neg,mean_CXCR6_pos,mean_CXCR6_neg,delta_pos_minus_neg,p_value,p_adj_BH,star
PBMC,S.Score,185,1184,1.2907370328920376e-4,-0.0016075718861044324,0.001736645589393636,0.5598814481981089,0.7536881876480926,ns
PBMC,Survival_apoptosis_module,185,1184,-0.10549638690238232,-0.11198108639432942,0.006484699491947105,0.6945820600319872,0.8716323890597486,ns
PBMC,TCF7,185,1184,0.5470777621496175,0.8309702814242982,-0.28389251927468073,7.833490639302539e-5,5.013434009153624e-4,***
PBMC,TNFRSF1A,185,1184,0.34922866333849445,0.3761879326490115,-0.026959269310517064,0.5537589383343011,0.7536881876480926,ns
PBMC,TOP2A,185,1184,0.010006091808855998,0.0065377881235783785,0.003468303685277619,0.44809271655299543,0.6488974407987561,ns
PBMC,TP53,185,1184,0.07748965240264748,0.0845276087095598,-0.007037956306912327,0.9788146560519931,0.9788146560519931,ns
Graft,AURKB,1369,1372,0.005758255809255423,0.002579965975385717,0.0031782898338697063,0.20425071693471805,0.37348702525205585,ns
Graft,BAD,1369,1372,0.1612552803099979,0.15130112441457388,0.009954155895424005,0.4017627811395339,0.5979725114634923,ns
Graft,BAK1,1369,1372,0.1771097361320492,0.17911302913654947,-0.0020032930045002784,0.9061498850773806,0.9788146560519931,ns
Graft,BAX,1369,1372,0.8680538538311123,0.744528950224966,0.12352490360614632,1.2507354423290135e-4,7.277006209914261e-4,***
Graft,BCL2,1369,1372,0.5586992070915068,0.4104608614142447,0.14823834567726207,3.158546616177648e-8,3.3691163905894913e-7,***
Graft,BCL2L11,1369,1372,0.16555629690603724,0.11012726361567536,0.055429033290361876,2.2388412314388668e-4,9.65450758897477e-4,***
Graft,BID,1369,1372,0.1414470781322869,0.15103479496537422,-0.009587716833087317,0.8606396680219779,0.9788146560519931,ns
Graft,CASP3,1369,1372,0.23200542289713588,0.16124840114522515,0.07075702175191073,6.742070481588328e-6,5.3936563852706625e-5,***
Graft,CCNB1,1369,1372,0.021580485156049625,0.005382267819258607,0.01619821733679102,1.5289246841813326e-4,8.15426498230044e-4,***
Graft,CDC20,1369,1372,0,0.001920159182083923,-0.001920159182083923,0.0835648708515518,0.20569814363458905,ns
Graft,CDK1,1369,1372,0.010923131497001803,0.007569978485009015,0.003353153011992788,0.389280945992762,0.5931900129413515,ns
Graft,CDKN1A,1369,1372,0.017543657011124647,0.026090775276737165,-0.008547118265612517,0.1320836661765106,0.28528167465783033,ns
Graft,CDKN1B,1369,1372,0.8066218596645797,0.7635352163108277,0.04308664335375201,0.26554521215302596,0.45932144804847735,ns
Graft,CDKN2A,1369,1372,0.19635076356803421,0.11379803491420123,0.08255272865383298,3.775724478420598e-8,3.4520909516988326e-7,***
Graft,CXCR6,1369,1372,1.8694447923333337,0,1.8694447923333337,0,0,***
Graft,Cell_cycle_arrest_module,1369,1372,-0.0937752404284628,-0.08630792210076513,-0.007467318327697675,0.1562875885803163,0.3041834536238045,ns
Graft,G2M.Score,1369,1372,-0.010843732811834528,-0.015675202239718886,0.004831469427884358,0.016965117814671814,0.05714566000731558,*
Graft,GZMB,1369,1372,1.5356793684548988,1.0098128963301607,0.5258664721247381,2.6869198272846586e-25,3.439257378924363e-24,***
Graft,IFNG,1369,1372,0.8300503703060289,0.43346400848102784,0.39658636182500107,7.56012992514813e-32,1.2096207880237008e-30,***
Graft,MCL1,1369,1372,1.1638685726849416,1.0230405395369242,0.1408280331480174,5.684473297193481e-5,4.042292122448697e-4,***
Graft,MCM5,1369,1372,0.2498508573591357,0.1839514670586362,0.06589939030049952,1.7360823738050328e-4,8.546867071040162e-4,***
Graft,MKI67,1369,1372,0.03679754539576858,0.025746685549333834,0.011050859846434745,0.13818331116238658,0.28528167465783033,ns
Graft,PCNA,1369,1372,0.12356735026195448,0.15000597058517529,-0.026438620323220807,0.18774854844539907,0.35340903236781,ns
Graft,PLK1,1369,1372,0.0014731895079617638,0.00607038978470829,-0.004597200276746527,0.15684459327477418,0.3041834536238045,ns
Graft,Proliferation_module,1369,1372,0.006845230052447227,0.0028547385926604206,0.003990491459786806,0.024604772519526762,0.07873527206248565,*
Graft,RB1,1369,1372,0.29508439076362636,0.30643355184306614,-0.011349161079439785,0.9094999574457717,0.9788146560519931,ns
Graft,S.Score,1369,1372,-0.0024121998841184554,-0.0019407102950439485,-4.714895890745069e-4,0.9169794773923373,0.9788146560519931,ns
Graft,Survival_apoptosis_module,1369,1372,-0.10079847554608354,-0.1278762080566938,0.02707773251061027,2.2627752161659618e-4,9.65450758897477e-4,***
Graft,TCF7,1369,1372,0.1653144557836901,0.6100374896273235,-0.44472303384363343,2.621366393499302e-56,5.5922483061318436e-55,***
Graft,TNFRSF1A,1369,1372,0.2868141530330397,0.2795453622228162,0.007268790810223524,0.3368217497846733,0.5257705362492461,ns
Graft,TOP2A,1369,1372,0.01618412750611847,0.011062968174179576,0.005121159331938893,0.4562560130616254,0.6488974407987561,ns
Graft,TP53,1369,1372,0.07766665726423244,0.07657618436061207,0.001090472903620368,0.8751625804101727,0.9788146560519931,ns
